"districtid","hasMetro","busStopDensity","stopsWithinMetroService","streetDensity","collectorStreetDensity","mainRoadDensity","highWayDensity","busRouteDensity","lineOverlapFactor","peopleDensity","developLevel","developLevelWithinBusService","busAccessibility","laggingIndex","weiboSignin","number","number_level","1","2","3","4","5","index","leafIndex"
3,0,15.59841445,0,3.804024475,1.910523307,1.717912459,0,38.15065247,10.92476027,10345.13102,0.220357876,0.892823701,6882.02454,3.436140869,7578,1098,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
4,0,18.79588022,0,5.150751781,2.302263772,2.046784392,0,49.76922085,14.65096321,14286.69199,0.435891158,1.485093917,6870.614966,3.425004339,8798,1295,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
5,1,22.86205493,27,8.599772632,2.063388303,0.850439799,0,77.63252782,21.5045663,14314.24792,2.179617653,1.235148405,7502.509864,3.620197465,19253,1310,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
6,1,11.063065,55,9.284991227,0.317671071,1.46313772,0,69.12278433,26.52378905,10499.65409,0.811665366,0.477132582,6962.946259,3.642574787,22159,966,4,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
7,0,30.6053743,0,7.575199565,0,3.446056118,0,74.98300139,11.8098697,15672.98904,2.922332325,1.493036923,6884.26653,3.481346769,8312,1330,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
8,0,24.45075875,0,6.821567745,0.832210912,1.704516174,0,70.71881045,27.25690949,14473.38066,0.460891917,0.515520934,6847.863046,3.352827387,4118,1131,5,0,0.0714285714285714,0.0714285714285714,0.128571428571429,0.728571428571429,5,1
9,0,3.892663691,0,0.224542515,0,0.553635444,0.954759231,23.80118574,10.68212685,5811.353306,-0.097018549,-0.204336271,8926.823711,5.443126659,1333,460,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
10,0,1.461051437,0,0,0,0,1.365641498,25.71066168,13.3203416,3480.95639,-0.294936117,-0.327464224,7483.581967,3.724453079,387,1546,5,0.0588235294117647,0.117647058823529,0.470588235294118,0.147058823529412,0.205882352941176,3,3
12,0,3.986829288,0,0.671812515,0.554931682,0.265791078,0.484086613,13.6715632,14.40106479,5473.153981,-0.325568522,-0.394943809,8679.130658,3.348321495,73,591,2,0.255102040816327,0.5,0.102040816326531,0.112244897959184,0.0306122448979592,2,2
13,0,3.456511896,0,0.97257638,0.308938451,0,0,10.21522692,7.971777367,1297.195435,-0.288319961,-0.310724409,15417.1483,4.22768998,3036,114,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
