districtid,hasMetro,busStopDensity,stopsWithinMetroService,streetDensity,collectorStreetDensity,mainRoadDensity,highWayDensity,roadDensity,busRouteDensity,lineOverlapFactor,peopleDensity,developLevel,developLevelWithinBusService,busAccessibility,laggingIndex,weiboSignin,number,number_level,1,2,3,4,index,leafIndex
3,0,15.59841445,0,3.804024475,1.910523307,1.717912459,0,7.432460241,38.15065247,10.92476027,10345.13102,0.220357876,0.892823701,6882.02454,3.436140869,7578,597.734375,3,0,0.181818182,0.181818182,0.636363636,4,6
4,0,18.79588022,0,5.150751781,2.302263772,2.046784392,0,9.499799945,49.76922085,14.65096321,14286.69199,0.435891158,1.485093917,6870.614966,3.425004339,8798,647.410628,4,0,0.181818182,0.181818182,0.636363636,4,6
7,0,30.6053743,0,7.575199565,0,3.446056118,0,11.02125568,74.98300139,11.8098697,15672.98904,2.922332325,1.493036923,6884.26653,3.481346769,8312,703.9142857,4,0,0.181818182,0.181818182,0.636363636,4,6
8,0,24.45075875,0,6.821567745,0.832210912,1.704516174,0,9.358294831,70.71881045,27.25690949,14473.38066,0.460891917,0.515520934,6847.863046,3.352827387,4118,574.7707006,3,0,0.069767442,0.720930233,0.209302326,3,5
9,0,3.892663691,0,0.224542515,0,0.553635444,0.954759231,1.73293719,23.80118574,10.68212685,5811.353306,-0.097018549,-0.204336271,8926.823711,5.443126659,1333,270.6721311,2,0.268656716,0.537313433,0.141791045,0.052238806,2,2
10,0,1.461051437,0,0,0,0,1.365641498,1.365641498,25.71066168,13.3203416,3480.95639,-0.294936117,-0.327464224,7483.581967,3.724453079,387,883.7142857,4,0.181818182,0.090909091,0.545454545,0.181818182,3,4
12,0,3.986829288,0,0.671812515,0.554931682,0.265791078,0.484086613,1.976621888,13.6715632,14.40106479,5473.153981,-0.325568522,-0.394943809,8679.130658,3.348321495,73,353.4117647,2,0.268656716,0.537313433,0.141791045,0.052238806,2,2
13,0,3.456511896,0,0.97257638,0.308938451,0,0,1.281514831,10.21522692,7.971777367,1297.195435,-0.288319961,-0.310724409,15417.1483,4.22768998,3036,57.56,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
14,0,0.800697659,0,0.836400405,0.113216073,0,0,0.949616478,3.923597305,3.331945912,437.3447754,-0.327436779,-0.40615064,12672.32211,3.744932833,723,66.77777778,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
15,0,0.618273115,0,0.224371387,0,0,0,0.224371387,0.891336293,3.416814955,175.4118592,-0.332500989,-0.39728679,17770.77177,3.388209323,29,38.175,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
21,0,1.459658446,0,0.918771641,0,0,0,0.918771641,4.04755972,3.49838619,135.6830392,-0.329725711,-0.411379415,14318.05,3.635570837,106,49.9375,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
22,0,0.332132905,0,0.085558197,0,0,0,0.085558197,0.294043538,3.204409229,161.6845939,-0.330092878,-0.40714742,16857.62056,3.235389592,785,75.68571429,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
23,0,1.297089623,0,1.063098966,0,0,0,1.063098966,1.081268693,2.254142481,350.7175161,-0.152679159,-0.366146377,16345.37193,3.129173862,3986,123.0714286,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
25,0,0.634935724,0,0.454573667,0.015721369,0,0,0.470295036,1.600993744,6.81253783,185.8963905,-0.32965816,-0.399367397,12682.55714,3.819364644,178,68.44444444,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
26,0,2.060092557,0,0.63181352,1.017387002,0,0,1.649200522,8.7882552,5.845448638,804.0199741,-0.26638193,-0.102336998,13518.49558,3.908773042,2359,31.47916667,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
27,0,3.340179309,0,0.799854249,0,0,0,0.799854249,3.927322737,2.096375854,162.7352647,-0.30190303,-0.408283345,15887.38957,3.613936607,355,55.23076923,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
28,0,1.27901567,0,0.605782791,0,0,0,0.605782791,2.013285139,4.208197232,132.8351236,-0.327274562,-0.395604466,15887.25324,3.516289252,1470,210.25,2,0.744680851,0.14893617,0.063829787,0.042553191,1,1
29,0,1.273851273,0,0,0,0,0,0,1.109406224,2.164448278,74.31294755,-0.325025213,-0.405714991,16527.48194,2.952844164,682,79,1,0.744680851,0.14893617,0.063829787,0.042553191,1,1
32,0,3.929341018,0,0,0.160946631,0,0,0.160946631,3.04412165,10.08349279,3706.956596,-0.321311779,-0.371312733,8459.219496,3.140175581,459,326.9767442,2,0.268656716,0.537313433,0.141791045,0.052238806,2,2
