小区编号,小区面积,300m公交站点计数,300m站点密度,300m地铁站数量,300m地铁站点密度,地铁站周围300m公交线路数,:地铁站周围500m公交线路数,支路长度（m）,次干道长度（m）,主干道长度（m）,快速路长度（m）,总长（m）,支路密度（km/km2）,次干道密度(km/km2),主干道密度(km/km2),快速路密度(km/km2),总道路密度(km/km2),快线长度（m）,普通线长度（m）,晚班车长度（m）,支线长度（m）,住宅POI集聚水平（签到次数/km2）,政府机构POI集聚水平（签到次数/km2）,娱乐POI集聚水平（签到次数/km2）,未知分类POI集聚水平（签到次数/km2）,旅游景点POI集聚水平（签到次数/km2）,酒店宾馆POI集聚水平（签到次数/km2）,金融POI集聚水平（签到次数/km2）,教育POI集聚水平（签到次数/km2）,交通设施POI集聚水平（签到次数/km2）,地点标志POI集聚水平（签到次数/km2）,飞机场POI集聚水平（签到次数/km2）,公共设施POI集聚水平（签到次数/km2）,公司POI集聚水平（签到次数/km2）,购物POI集聚水平（签到次数/km2）,公交线路长度（m）,公交线路密度（km/km2）,公交线网长度,公交线网密度(km/km2),轨道线路长度,轨道线网密度(km/km2),建成环境FAC1_1,建成环境FAC2_1,建成环境FAC3_1,建成环境综合评分,人口（人）,人口密度（人/km2）,小汽车可达性（分钟）,公交可达性（分钟）,延时指数,300m内公交站300m服务面积,餐饮300m内公交站服务范围内POI（签到次数/km2）,地点标志300m内公交站服务范围内POI（签到次数/km2）,飞机场300m内公交站服务范围内POI（签到次数/km2）,公共设施300m内公交站服务范围内POI（签到次数/km2）,公司300m内公交站服务范围内POI（签到次数/km2）,购物300m内公交站服务范围内POI（签到次数/km2）,交通设施300m内公交站服务范围内POI（签到次数/km2）,教育300m内公交站服务范围内POI（签到次数/km2）,金融300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆300m内公交站服务范围内POI（签到次数/km2）,旅游景点300m内公交站服务范围内POI（签到次数/km2）,未知分类300m内公交站服务范围内POI（签到次数/km2）,娱乐300m内公交站服务范围内POI（签到次数/km2）,政府机构300m内公交站服务范围内POI（签到次数/km2）,住宅300m内公交站服务范围内POI（签到次数/km2）,餐饮集聚300m内公交站服务范围内POI（签到次数/km2）,地点标志集聚300m内公交站服务范围内POI（签到次数/km2）,飞机场集聚300m内公交站服务范围内POI（签到次数/km2）,公共设施集聚300m内公交站服务范围内POI（签到次数/km2）,公司集聚300m内公交站服务范围内POI（签到次数/km2）,购物集聚300m内公交站服务范围内POI（签到次数/km2）,交通设施集聚300m内公交站服务范围内POI（签到次数/km2）,教育集聚300m内公交站服务范围内POI（签到次数/km2）,金融集聚300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆集聚300m内公交站服务范围内POI（签到次数/km2）,旅游景点集聚300m内公交站服务范围内POI（签到次数/km2）,未知分类集聚300m内公交站服务范围内POI（签到次数/km2）,娱乐集聚300m内公交站服务范围内POI（签到次数/km2）,政府机构集聚300m内公交站服务范围内POI（签到次数/km2）,住宅集聚300m内公交站服务范围内POI（签到次数/km2）,FAC1_1公交站点服务范围,FAC2_1公交站点服务范围,FAC3_1公交站点服务范围,,0时签到总数,1时签到总数,2时签到总数,3时签到总数,4时签到总数,5时签到总数,6时签到总数,7时签到总数,8时签到总数,9时签到总数,10时签到总数,11时签到总数,12时签到总数,13时签到总数,14时签到总数,15时签到总数,16时签到总数,17时签到总数,18时签到总数,19时签到总数,20时签到总数,21时签到总数,22时签到总数,23时签到总数,签到总数总计
0,11.693782,,,,,,,0,0,1344.172989,2599.13278,3943.305769,0,0,0.11494767,0.222266225,0.337213894,0,4873.159592,0,779.1704312,,,,,,,,,,,,,,,,,,,,,,,,,,,4190.234504,12130.82854,2.895023782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17.359354,,,,,,,0,0,936.6201712,0,936.6201712,0,0,0.053954783,0,0.053954783,0,0,0,702.7826523,,,,,,,,,,,,,,,,,,,,,,,,,,,2791.960905,10269.80879,3.678349783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.900947,,,,,,,0,0,3840.236126,1510.796137,5351.032263,0,0,1.323787069,0.520794119,1.844581188,0,3052.88709,0,2740.662637,,,,,,,,,,,,,,,,,,,,,,,,,,,2928.683128,10614.65337,3.624377547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.602727,25,15.59841445,0,0,,,6096.812734,3062.047289,2753.344681,0,11912.2047,3.804024475,1.910523307,1.717912459,0,7.432460241,0,4434.757764,0,1930.38097,1743.278799,0,123.5394425,472.9439262,4.991492625,950.2554084,0.623936578,33.06863864,3.743619469,932.1612477,0,99.8298525,31.1968289,21.83778023,61145.08079,38.15065247,5596.926547,3.492127198,,,0.412100397,0.047793916,-0.088629635,0.220357876,16580.4208,10345.13102,2002.835391,6882.02454,3.436140869,3.8112459,4305,2625,,4890,142,2069,303,86,7,1710,23,6069,1178,,4467,1129.551887,688.7511509,0,1283.045001,37.2581575,542.8670976,79.50156142,22.56479961,1.836669736,448.6721783,6.034771989,1592.392661,309.0852784,0,1172.057673,0.934109995,0.309585586,1.408440233,0.892823701,723,409,219,117,66,46,63,153,238,248,303,271,285,271,230,255,216,275,283,323,456,517,682,929,7578
4,1.436485,27,18.79588022,0,0,,,7398.977672,3307.167375,2940.175078,0,13646.32013,5.150751781,2.302263772,2.046784392,0,9.499799946,1734.144836,4679.500317,1381.713531,2307.936575,751.1390651,0.696143712,625.1370533,2552.062848,0,238.7772932,2.784574848,11.8344431,52.9069221,29.2380359,0,206.0585387,83.53724543,937.7055799,71492.73922,49.76922085,4879.729626,3.396993095,,,0.701450886,-0.149464635,0.404411205,0.435891158,20522.61875,14286.69199,2006.016427,6870.614966,3.425004339,3.918313,5028,1154,,4552,193,17601,200,290,14,1557,3,6408,1590,1,3245,1283.205298,294.5145015,0,1161.724446,49.2558915,4491.984178,51.04237461,74.01144319,3.572966223,397.3648864,0.765635619,1635.397683,405.7868782,0.255211873,828.1625281,2.043224636,0.139758521,1.235817221,1.485093917,604,379,199,96,65,60,70,180,266,346,411,402,389,424,405,392,463,456,409,420,451,574,600,737,8798
5,1.093515,25,22.86205493,1,0.914482197,26,27,9403.98037,2256.34606,929.9686772,0,12590.29511,8.599772632,2.063388303,0.850439799,0,11.51360073,248.00201,3296.517994,1424.501412,2516.109153,1153.162051,0,242.3377823,4195.644321,3.657928789,60.35582502,2.743446592,67.6716826,662.0851109,1015.075239,0,5107.383072,60.35582502,1604.001774,84892.33365,77.63252782,3947.64221,3.610048523,2636.022931,2.410596042,1.503479057,5.407858586,0.270496011,2.179617653,15652.84481,14314.24792,2072.403491,7502.509864,3.620197465,3.1369607,4725,1199,,5653,99,2010,3677,12685,5,1044,14,9222,309,3,2749,1506.235,382.2170931,0,1802.062742,31.55920952,640.7475873,1172.153671,4043.722958,1.593899471,332.8062095,4.462918519,2939.788184,98.5029873,0.956339683,876.3259291,1.121162739,0.613081266,2.276196604,1.235148405,1419,823,457,282,167,120,165,286,555,722,640,847,1091,1031,1079,848,747,793,875,884,1024,1176,1587,1635,19253
6,1.988599,22,11.063065,1,0.502866591,36,55,18464.12427,631.7203741,2909.594206,0,22005.43885,9.284991227,0.317671071,1.46313772,0,11.06580002,0,3051.399622,3305.597123,5457.816892,116.6650491,0,185.0549055,931.3089265,0,17.60033069,0,7837.175821,247.4103628,330.8862169,0,551.1417837,513.929656,4.022932728,137457.4998,69.12278433,5182.423203,2.606067489,3282.707851,1.650764106,-0.067497671,0.121149242,3.924501813,0.811665366,20879.60162,10499.65409,1911.545175,6962.946259,3.642574787,3.6677594,2022,886,,1121,1117,7590,697,15150,10,57,,8470,282,,591,551.2902509,241.5643731,0,305.6361876,304.5456035,2069.383286,190.0342754,4130.587192,2.726460193,15.5408231,0,2309.311783,76.88617743,0,161.1337974,0.513989592,1.330344706,-0.579534638,0.477132582,1376,719,337,196,103,76,97,342,684,994,1100,1029,1337,1352,1250,1335,1338,1241,1251,1155,1168,1197,1225,1257,22159
7,0.392088,12,30.6053743,0,0,,,2970.144847,0,1351.157251,0,4321.302098,7.575199565,0,3.446056118,0,11.02125568,1264.947727,2742.665622,870.1649376,2639.336671,308.6041909,0,499.8877803,397.8698659,0,5.100895717,5.100895717,40.80716574,255.0447859,30.6053743,0,140.2746322,15.30268715,16912.01975,29399.93505,74.98300139,2489.437716,6.349181091,,,3.967774125,4.022933249,-1.099159796,2.922332325,6145.190926,15672.98904,1977.472222,6884.26653,3.481346769,1.5224707,4543,72,,67,100,8877,109,28,8,218,,697,1606,1,1043,2983.965471,47.2915505,0,44.00741505,65.68270903,5830.654081,71.59415285,18.39115853,5.254616723,143.1883057,0,457.808482,1054.864307,0.65682709,685.0706552,3.233606228,-1.248240912,-0.889871028,1.493036923,297,143,67,39,21,18,24,67,173,240,331,369,425,495,501,539,513,655,642,643,629,605,488,388,8312
8,0.777072,19,24.45075875,0,0,,,5300.849291,646.6877981,1324.531792,0,7272.068881,6.821567745,0.832210912,1.704516174,0,9.358294831,1112.336817,2201.797973,1896.626845,2355.531499,1546.832211,0,316.5729817,1048.808862,7.721292235,123.5406758,5.147528157,145.4176704,9.008174275,16.72946651,0,74.63915828,16.72946651,190.4585418,54953.60748,70.71881045,2016.134936,2.594527838,,,1.039730096,-0.307282165,-0.188891822,0.460891917,11246.85886,14473.38066,2042.414433,6847.863046,3.352827387,2.81113,5228,68,,123,56,5923,34,358,10,216,6,1219,1346,,6270,1859.75035,24.18956078,0,43.75464671,19.92081476,2106.98189,12.09478039,127.3509229,3.55728835,76.83742837,2.13437301,433.6334499,478.8110119,0,2230.419796,1.323111465,-0.883348358,-0.449895928,0.515520934,256,151,67,39,24,19,26,62,118,146,196,207,265,224,212,173,181,228,214,213,213,235,281,368,4118
9,4.110296,16,3.892663691,0,0,,,922.9362019,0,2275.60555,3924.34305,7122.884802,0.224542515,0,0.553635444,0.954759231,1.73293719,0,7820.808339,0,0,0,0,4.865829614,18.24686105,9.974950709,0.243291481,0,5.595704056,7.055452941,88.55809898,0,18.24686105,136.2432292,25.30231399,97829.91854,23.80118574,9158.280927,2.228131727,,,-0.364574601,-0.267645537,0.805077542,-0.097018549,23886.38225,5811.353306,1640.017635,8926.823711,5.443126659,2.3183582,41,361,,71,552,13,,23,,,41,62,15,,5,17.68492893,155.7136425,0,30.62512083,238.099531,5.60741649,0,9.92081379,0,0,17.68492893,26.74306326,6.47009595,0,2.15669865,-0.450741418,0.981088826,-0.74740773,-0.204336271,99,61,28,35,18,23,16,21,41,46,66,73,54,59,47,68,48,58,47,51,81,85,102,106,1333
